Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,Attendance,Top Team Scorer,Goalkeeper
1,Twente,22,18,2,2,56,21,35,56,2.55,1381,Liz Rijsbergen - 10,Daniëlle de Jong
2,Ajax,22,17,3,2,62,20,42,54,2.45,1884,Romée Leuchter - 20,Regina van Eijk
3,PSV,22,12,5,5,52,24,28,41,1.86,1600,Joëlle Smits - 17,Lisan Alkemade
4,Fortuna Sittard,22,12,4,6,57,27,30,40,1.82,609,Tessa Wullaert - 26,Diede Lemey
5,ADO Den Haag,22,9,5,8,31,23,8,32,1.45,511,Lobke Loonen - 13,Barbara Lorsheijd
6,Zwolle,22,9,4,9,36,41,-5,31,1.41,485,Bo Tess Van Egmond - 8,Inge Tijink
7,FC Utrecht,22,8,6,8,34,45,-11,30,1.36,3085,Eshly Bakker - 10,Jasmijn de Groot
8,Feyenoord Vrouwen,22,7,3,12,26,34,-8,24,1.09,920,Esmee de Graaf - 6,Jacintha Weimar
9,VV Alkmaar,22,5,6,11,28,38,-10,21,0.95,624,Jolijn Spaan - 11,Femke Liefting
10,Heerenveen,22,5,4,13,15,38,-23,19,0.86,416,Janneke Ennema - 5,Jasmijn Resink
11,Telstar 1963,22,3,3,16,16,69,-53,12,0.55,392,Isa Gomez - 4,Kelly Steen
12,Excelsior,22,2,5,15,20,53,-33,11,0.5,671,Sabrine Ellouzi - 5,Isa Pothof
