Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance
Squad,# Pl,90s,CrdY,CrdR,2CrdY,OG
vs ADO Den Haag,25,22.0,22,1,0,2
vs Ajax,23,22.0,25,0,0,0
vs Excelsior,21,22.0,18,0,0,1
vs FC Utrecht,25,22.0,19,2,0,0
vs Feyenoord Vrouwen,26,22.0,20,0,0,1
vs Fortuna Sittard,20,22.0,18,0,0,1
vs Heerenveen,21,22.0,20,0,0,0
vs PSV,28,22.0,23,0,0,4
vs Telstar 1963,22,22.0,19,1,0,1
vs Twente,25,22.0,13,0,0,3
vs VV Alkmaar,23,22.0,16,1,1,0
vs Zwolle,21,22.0,23,0,0,2
