Unnamed: 0_level_0,Unnamed: 1_level_0,Home,Home,Home,Home,Home,Home,Home,Home,Home,Away,Away,Away,Away,Away,Away,Away,Away,Away
Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,MP,W,D,L,GF,GA,GD,Pts,Pts/MP
1,Twente,11,10,0,1,28,12,16,30,2.73,11,8,2,1,28,9,19,26,2.36
2,Ajax,11,8,2,1,32,9,23,26,2.36,11,9,1,1,30,11,19,28,2.55
3,PSV,11,8,2,1,36,10,26,26,2.36,11,4,3,4,16,14,2,15,1.36
4,Fortuna Sittard,11,7,1,3,26,14,12,22,2.0,11,5,3,3,31,13,18,18,1.64
5,ADO Den Haag,11,5,2,4,18,12,6,17,1.55,11,4,3,4,13,11,2,15,1.36
6,Zwolle,11,5,2,4,17,21,-4,17,1.55,11,4,2,5,19,20,-1,14,1.27
7,FC Utrecht,11,4,3,4,17,22,-5,15,1.36,11,4,3,4,17,23,-6,15,1.36
8,Feyenoord Vrouwen,11,4,2,5,14,14,0,14,1.27,11,3,1,7,12,20,-8,10,0.91
9,VV Alkmaar,11,1,5,5,13,18,-5,8,0.73,11,4,1,6,15,20,-5,13,1.18
10,Heerenveen,11,3,2,6,5,13,-8,11,1.0,11,2,2,7,10,25,-15,8,0.73
11,Telstar 1963,11,2,1,8,10,39,-29,7,0.64,11,1,2,8,6,30,-24,5,0.45
12,Excelsior,11,2,3,6,12,21,-9,9,0.82,11,0,2,9,8,32,-24,2,0.18
