Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
vs ADO Den Haag,25,22.7,22,242,1980,22.0,23,15,38,22,1,2,22,1,1.05,0.68,1.73,1.0,1.68
vs Ajax,23,22.6,22,242,1980,22.0,18,13,31,17,1,2,25,0,0.82,0.59,1.41,0.77,1.36
vs Excelsior,21,22.7,22,242,1980,22.0,51,27,78,49,2,3,18,0,2.32,1.23,3.55,2.23,3.45
vs FC Utrecht,25,22.6,22,242,1980,22.0,44,31,75,41,3,3,19,2,2.0,1.41,3.41,1.86,3.27
vs Feyenoord Vrouwen,26,22.6,22,242,1980,22.0,34,20,54,32,2,3,20,0,1.55,0.91,2.45,1.45,2.36
vs Fortuna Sittard,20,22.6,22,242,1980,22.0,27,15,42,26,1,2,18,0,1.23,0.68,1.91,1.18,1.86
vs Heerenveen,21,22.8,22,242,1980,22.0,38,25,63,36,2,2,20,0,1.73,1.14,2.86,1.64,2.77
vs PSV,28,22.6,22,242,1980,22.0,24,14,38,22,2,2,23,0,1.09,0.64,1.73,1.0,1.64
vs Telstar 1963,22,22.4,22,242,1980,22.0,66,48,114,63,3,5,19,1,3.0,2.18,5.18,2.86,5.05
vs Twente,25,22.6,22,242,1980,22.0,21,14,35,20,1,1,13,0,0.95,0.64,1.59,0.91,1.55
vs VV Alkmaar,23,22.6,22,242,1980,22.0,33,23,56,33,0,0,16,1,1.5,1.05,2.55,1.5,2.55
vs Zwolle,21,22.9,22,242,1980,22.0,39,23,62,37,2,2,23,0,1.77,1.05,2.82,1.68,2.73
