Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
vs ADO Den Haag,1,22,22,1980,22.0,8,5,9,7,31.8,4,3,1,0,25.0
vs Ajax,2,22,22,1980,22.0,2,3,17,2,9.1,4,3,1,0,25.0
vs Excelsior,1,22,22,1980,22.0,15,5,2,6,27.3,1,0,1,0,100.0
vs FC Utrecht,3,22,22,1979,22.0,8,6,8,8,36.4,4,3,1,0,25.0
vs Feyenoord Vrouwen,3,22,22,1980,22.0,12,3,7,7,31.8,2,2,0,0,0.0
vs Fortuna Sittard,2,22,22,1980,22.0,6,4,12,6,27.3,4,4,0,0,0.0
vs Heerenveen,1,22,22,1980,22.0,13,4,5,11,50.0,0,0,0,0,
vs PSV,3,22,22,1980,22.0,5,5,12,3,13.6,5,4,1,0,20.0
vs Telstar 1963,2,22,22,1980,22.0,16,3,3,11,50.0,0,0,0,0,
vs Twente,2,22,22,1980,22.0,2,2,18,2,9.1,0,0,0,0,
vs VV Alkmaar,2,22,22,1980,22.0,11,6,5,5,22.7,2,1,1,0,50.0
vs Zwolle,2,22,22,1890,22.0,9,4,9,3,13.6,1,0,1,0,100.0
