Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success
Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90
ADO Den Haag,25,23.5,22,1980,90,100,22.0,242,85,160,82,15,136,1.45,31,23,8,0.36
Ajax,23,22.8,22,1980,90,100,22.0,242,80,140,102,23,106,2.45,62,20,42,1.91
Excelsior,21,22.0,22,1980,90,100,22.0,242,83,166,76,23,169,0.5,20,53,-33,-1.5
FC Utrecht,25,25.0,22,1980,90,100,22.0,242,82,154,88,22,98,1.36,34,45,-11,-0.5
Feyenoord Vrouwen,26,22.8,22,1980,90,100,22.0,242,80,149,90,26,94,1.09,26,34,-8,-0.36
Fortuna Sittard,20,23.9,22,1980,90,100,22.0,242,83,172,70,23,97,1.82,57,27,30,1.36
Heerenveen,21,21.0,22,1980,90,100,22.0,242,85,182,62,19,85,0.86,15,38,-23,-1.05
PSV,28,23.5,22,1980,90,100,22.0,242,84,145,97,15,93,1.86,52,24,28,1.27
Telstar 1963,22,25.0,22,1980,90,100,22.0,242,81,152,91,24,53,0.55,16,69,-53,-2.41
Twente,25,23.0,22,1980,90,100,22.0,242,84,163,79,18,109,2.55,56,21,35,1.59
VV Alkmaar,23,20.5,22,1980,90,100,22.0,242,81,144,99,23,91,0.95,28,38,-10,-0.45
Zwolle,21,19.6,22,1980,90,100,22.0,242,82,161,81,24,79,1.41,36,41,-5,-0.23
